[13:35:26] training parameters: Namespace(train_file='/home/eason/ont/data/0318_seq/train_features_over.csv', valid_file='/home/eason/ont/data/0318_seq/test_features_over.csv', model_dir='/home/eason/ont/data/0318_seq/model_000001_over', model_type='Both_BiLSTM', seq_len=9, signal_len=16, num_combine_layers=2, num_pre_layers=2, num_classes=2, dropout=0.5, hidden_size=256, vocab_size=16, embedding_size=4, using_base=True, using_signal_len=True, optimizer='Adam', lr=1e-06, batch_size=512, num_epochs=10, pos_weight=1.0, seed=42, log_interval=100, pretrained_model=None, tmp_dir='./tmp')
[13:35:26] training start...
[13:35:26] Using GPU
[13:35:26] Loading data
[13:38:55] Loading model
[13:39:06] Training model
[13:39:06] Using optimizer: Adam
[13:39:06] Start training
[13:39:06] Train step: 2144
[13:39:40] Epoch [1/10], Step [100/2144], Train Loss: 0.6934, Valid Loss: 0.6933, Valid Accuracy: 0.4848, Valid Precision: 0.4844, Valid Recall: 0.9913
[13:40:12] Epoch [1/10], Step [200/2144], Train Loss: 0.6933, Valid Loss: 0.6933, Valid Accuracy: 0.4846, Valid Precision: 0.4842, Valid Recall: 0.9866
[13:40:45] Epoch [1/10], Step [300/2144], Train Loss: 0.6933, Valid Loss: 0.6933, Valid Accuracy: 0.4851, Valid Precision: 0.4844, Valid Recall: 0.9790
[13:41:17] Epoch [1/10], Step [400/2144], Train Loss: 0.6934, Valid Loss: 0.6933, Valid Accuracy: 0.4854, Valid Precision: 0.4843, Valid Recall: 0.9672
[13:41:50] Epoch [1/10], Step [500/2144], Train Loss: 0.6933, Valid Loss: 0.6933, Valid Accuracy: 0.4861, Valid Precision: 0.4845, Valid Recall: 0.9567
[13:42:22] Epoch [1/10], Step [600/2144], Train Loss: 0.6933, Valid Loss: 0.6933, Valid Accuracy: 0.4873, Valid Precision: 0.4849, Valid Recall: 0.9409
[13:42:54] Epoch [1/10], Step [700/2144], Train Loss: 0.6933, Valid Loss: 0.6933, Valid Accuracy: 0.4869, Valid Precision: 0.4843, Valid Recall: 0.9196
[13:43:26] Epoch [1/10], Step [800/2144], Train Loss: 0.6933, Valid Loss: 0.6933, Valid Accuracy: 0.4884, Valid Precision: 0.4847, Valid Recall: 0.8907
[13:43:59] Epoch [1/10], Step [900/2144], Train Loss: 0.6933, Valid Loss: 0.6932, Valid Accuracy: 0.4902, Valid Precision: 0.4851, Valid Recall: 0.8561
[13:44:31] Epoch [1/10], Step [1000/2144], Train Loss: 0.6933, Valid Loss: 0.6932, Valid Accuracy: 0.4894, Valid Precision: 0.4839, Valid Recall: 0.8140
[13:45:03] Epoch [1/10], Step [1100/2144], Train Loss: 0.6933, Valid Loss: 0.6932, Valid Accuracy: 0.4930, Valid Precision: 0.4851, Valid Recall: 0.7636
[13:45:36] Epoch [1/10], Step [1200/2144], Train Loss: 0.6933, Valid Loss: 0.6932, Valid Accuracy: 0.4940, Valid Precision: 0.4848, Valid Recall: 0.7117
[13:46:08] Epoch [1/10], Step [1300/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.4955, Valid Precision: 0.4852, Valid Recall: 0.6825
[13:46:40] Epoch [1/10], Step [1400/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.4954, Valid Precision: 0.4839, Valid Recall: 0.6303
[13:47:13] Epoch [1/10], Step [1500/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.4974, Valid Precision: 0.4845, Valid Recall: 0.5876
[13:47:45] Epoch [1/10], Step [1600/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.4990, Valid Precision: 0.4847, Valid Recall: 0.5455
[13:48:18] Epoch [1/10], Step [1700/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.5002, Valid Precision: 0.4847, Valid Recall: 0.5074
[13:48:50] Epoch [1/10], Step [1800/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.5006, Valid Precision: 0.4840, Valid Recall: 0.4695
[13:49:22] Epoch [1/10], Step [1900/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.5027, Valid Precision: 0.4846, Valid Recall: 0.4209
[13:49:55] Epoch [1/10], Step [2000/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.5049, Valid Precision: 0.4862, Valid Recall: 0.3943
[13:50:27] Epoch [1/10], Step [2100/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.5045, Valid Precision: 0.4843, Valid Recall: 0.3562
[13:50:56] Epoch [1/10], Step [2144/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.5051, Valid Precision: 0.4846, Valid Recall: 0.3434
[13:51:28] Epoch [2/10], Step [100/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.5063, Valid Precision: 0.4849, Valid Recall: 0.3100
[13:52:01] Epoch [2/10], Step [200/2144], Train Loss: 0.6932, Valid Loss: 0.6932, Valid Accuracy: 0.5071, Valid Precision: 0.4845, Valid Recall: 0.2775
